Startup Name,Industry,Pitchers City,Pitchers State,Original Ask Amount,Original Offered Equity,Total Deal Amount,Total Deal Equity,Number of Sharks in Deal,Namita Investment Amount,Aman Investment Amount,Anupam Investment Amount,Vineeta Investment Amount,Peyush Investment Amount,Ritesh Investment Amount,Amit Investment Amount,Guest Investment Amount
Rentit4me,Business Services,Gurugram,Haryana,150,5,0,0,0,0,0,0,0,0,0,0,0
CoolTheGlobe,Green/CleanTech,Pune,Maharashtra,25,5,25,8,2,0,12.5,0,0,0,0,0,12.5
Canvaloop,Green/CleanTech,Surat,Gujarat,100,1.33,200,4,5,40,40,40,0,0,0,0,80
DigitalPaani,Green/CleanTech,Jaipur,Rajasthan,70,1,0,0,0,0,0,0,0,0,0,0,0
FAEBeauty,Beauty/Fashion,Mumbai,Maharashtra,100,1,100,1.5,2,50,50,0,0,0,0,0,0
CONFECT,Food and Beverage,Delhi,Delhi,100,1,100,2,1,100,0,0,0,0,0,0,0
Indulge,Technology/Software,Goa,Goa,50,1,0,0,0,0,0,0,0,0,0,0,0
BLFabric,Beauty/Fashion,Surat,Gujarat,100,2,100,5,2,0,0,0,0,0,50,0,50
CultureCircle,Beauty/Fashion,Gurugram,Haryana,120,0.5,300,3,2,0,0,0,0,0,150,0,150
NexeraHealth,Medical/Health,Jaipur,Rajasthan,75,1,0,0,0,0,0,0,0,0,0,0,0
NOOE,Technology/Software,"Delhi,Pune","Delhi,Maharashtra",50,1,500,51,1,0,0,0,0,500,0,0,0
GoZero,Food and Beverage,Mumbai,Maharashtra,100,1,100,1.5,1,0,100,0,0,0,0,0,0
CurveElectric,Technology/Software,Srinagar,Jammu & Kashmir,500,5,0,0,0,0,0,0,0,0,0,0,0
Gudworld,Food and Beverage,Aurangabad,Maharashtra,50,2,50,5,1,0,50,0,0,0,0,0,0
airth,Lifestyle/Home,Delhi,Delhi,60,1,100,3.7,2,0,50,0,50,0,0,0,0
OneDios,Lifestyle/Home,Noida,Uttar Pradesh,75,1.5,0,0,0,0,0,0,0,0,0,0,0
InnerGize,Medical/Health,Delhi,Delhi,54,1.5,100,4.2,3,0,33.333,0,0,0,33.333,0,33.333
PersonalTouchSkincare,Beauty/Fashion,Panipat,Haryana,120,1,0,0,0,0,0,0,0,0,0,0,0
KIWIKisanWindow,Lifestyle/Home,Dehradun,Uttarakhand,50,1,250,10,1,0,0,0,0,0,0,0,250
